Código do Ativo,Sigla do Ativo,CEG do empreendimento,Cód. Parcela de Usina,Parcela de Usina,Tipo de Despacho,Participante do Rateio de Perdas,Fonte de Energia Primária,Combustível*,Submercado,UF,Caracterísitica da Parcela,Participante do MRE,Participante do Regime de Cotas,% de Desconto da Usina,Capacidade da Usina(i) - MW (CAP_T),Garantia Física (ii) MW Médio (GF),"Fator de Operação Comercial (iii) (F_COMERCIALp,j)","Fator de Abatimento de Perdas Internas Instantâneas (F_PDI p,j)",Cód. Perfil,Sigla,Nome Empresarial,Data de Início de Operação Comercial na CCEE,Mês,"Geração no Centro de Gravidade - 
MW médios 
(Gp,j)","Geração em Teste no Centro de Gravidade - MW médios 
(GFT p,j)","Garantia Física no Centro de Gravidade Apurada para Fins de Lastro - MW médios (GFISp,j)","Geração por Segurança Energética (1) 
 MW médios
(G_SE p,j)","Geração por  Restrição de Operação Constrained-On (1)   MW médios 
(G_CONST_ON p,j)","Geração para Manutenção de Reserva Operativa 
MW médios
(G_RESPOP p,j)  ","Geração por Unit Commitment
(G_UNIT p,j)  "
153842,Pereira Barreto V,UFV.RS.SP.034365-0.01,945809,Pereira Barreto V,IIC - Programada e Não Despachada em Conjunto,Não,Solar Fotovoltaica,Radiação solar,SUDESTE,SP,Operação Normal,Não,Não,50%,35.91,,1,1,27926,PEREIRA BARRETO V I5,CENTRAL SOLAR PEREIRA BARRETO V S.A,2021-11-20 00:00:00,2023-02-01 00:00:00,8.586732977678572,0,8.586732977678572,0,0,,
153847,UTE FENIX,UTE.FL.MT.029649-0.02,946788,UTE FENIX,III - Não Programada e Não Despachada,Não,Térmica a Biomassa,Lenha,SUDESTE,MT,Operação Normal,Não,Não,50%,32.5,20,1,1,28474,UTE FENIX I5,FENIX COMPLEXO INDUSTRIAL S/A,2021-10-27 00:00:00,2023-02-01 00:00:00,0,0,20,0,0,,
153906,UFV Polpa Ideal II,UFV.RS.PB.050792-0.01,946159,UFV Polpa Ideal II,III - Não Programada e Não Despachada,Não,Solar Fotovoltaica,Radiação solar,NORDESTE,PB,Operação Normal,Não,Não,50%,0.226,,1,1,26468,POLPA IDEAL - GERACAO,INDUSTRIA DE POLPA DE FRUTAS IDEAL LTDA,2022-01-20 00:00:00,2023-02-01 00:00:00,0.0025739300595238094,0,0.0025739300595238094,0,0,,
153960,UFV Polpa Ideal I,UFV.RS.PB.052044-6.01,946191,UFV Polpa Ideal I,III - Não Programada e Não Despachada,Não,Solar Fotovoltaica,Radiação solar,NORDESTE,PB,Operação Normal,Não,Não,50%,0.217,,1,1,26468,POLPA IDEAL - GERACAO,INDUSTRIA DE POLPA DE FRUTAS IDEAL LTDA,2022-01-20 00:00:00,2023-02-01 00:00:00,0.01884295982142857,0,0.01884295982142857,0,0,,
154114,UTE COAF,UTE.AI.PE.044864-8.01,947896,UTE COAF,III - Não Programada e Não Despachada,Não,Térmica a Biomassa,Bagaço de Cana de Açúcar,NORDESTE,PE,Operação Normal,Não,Não,50%,12,,1,1,28942,COAF I5,COOPERATIVA DO AGRONEGOCIO DOS ASSOCIADOS DA ASSOCIACAO DOS FORNECEDORES DE CANA-DE-ACUCAR,2022-05-27 00:00:00,2023-02-01 00:00:00,0,0,0,0,0,,
154149,UTE Bracell Linha 2,UTE.FL.SP.043249-0.01,947328,UTE Bracell Linha 2,IIC - Programada e Não Despachada em Conjunto,Sim,Térmica a Biomassa,Licor Negro,SUDESTE,SP,Operação Normal,Não,Não,,409.307,,1,1,28746,BRACELL SP LINHA 2 CQ5,BRACELL SP CELULOSE LTDA,2021-12-31 00:00:00,2023-02-01 00:00:00,102.15123406994049,0,102.15123406994049,0,0,,
154250,PCH Dois Saltos vare,PCH.PH.PR.033975-0.01,951213,PCH Dois Saltos vare,III - Não Programada e Não Despachada,Não,Hidráulica PCH,Potencial hidráulico,SUL,PR,Operação Normal,Não,Não,50%,30,15.49,1,1,72981,USINAS I5 VAR,COPEL COMERCIALIZACAO S.A.,2022-04-01 00:00:00,2023-02-01 00:00:00,16.23945620982143,0,15.49,0,0,,
154254,TUBARÃO P&D 2,EOL.CV.SC.050783-0.01,946629,TUBARÃO P&D 2,III - Não Programada e Não Despachada,Não,Eólica,Cinética do vento,SUL,SC,Operação Normal,Não,Não,50%,4.2,,1,1,20914,ENGIE BR GER I5,ENGIE BRASIL ENERGIA S.A.,2022-02-23 00:00:00,2023-02-01 00:00:00,0.45749700595238096,0,0.45749700595238096,0,0,,
154290,UFV Sterbom Polpa de,UFV.RS.RN.051959-6.01,956697,UFV Sterbom Polpa de,III - Não Programada e Não Despachada,Não,Solar Fotovoltaica,Radiação solar,NORDESTE,RN,Operação Normal,Não,Não,50%,0.168,,0,1,28499,STER BOM APE,STER BOM IND. E COM. LTDA,,2023-02-01 00:00:00,0,0.0017265550595238096,0,0,0,,
154311,CGH ILHA,CGH.PH.SC.055262-3.01,948888,CGH ILHA,III - Não Programada e Não Despachada,Não,Hidráulica CGH,Potencial hidráulico,SUL,SC,Operação Normal,Sim,Não,50%,1.62,0.77,1,1,32756,CEESAM GER ILHA I5,COOPERATIVA GERADORA DE ENERGIA ELETRICA E DESENVOLVIMENTO SANTA MARIA,2022-04-28 00:00:00,2023-02-01 00:00:00,0.8862572023809524,0,0.733326,0,0,,
154772,Ventos Santa E 26,EOL.CV.BA.034514-8.01,946551,Ventos Santa E 26,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,46.2,24.8,1,1,99753,EGP SANTA ESPERANCA 26 I5,ENEL GREEN POWER VENTOS DE SANTA ESPERANCA 26 S.A.,2021-11-13 00:00:00,2023-02-01 00:00:00,27.211687729166663,0,28.13119835267857,0,0,,
154786,SPE JACUTINGA SA,CGH.PH.SC.033711-0.02,946192,SPE JACUTINGA SA,III - Não Programada e Não Despachada,Não,Hidráulica CGH,Potencial hidráulico,SUL,SC,Operação Normal,Sim,Não,50%,4.95,2.52,1,1,29283,CGH JACUTINGA I5,SPE JACUTINGA SA,2022-01-07 00:00:00,2023-02-01 00:00:00,0.8856466071428573,0,2.94642,0,0,,
154792,Ventos de Sta Espe21,EOL.CV.BA.034511-3.01,947278,Ventos de Sta Espe21,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,46.2,29.7,1,1,99781,EGP SANTA ESPERANCA 21 I5,ENEL GREEN POWER VENTOS DE SANTA ESPERANCA 21 S.A.,2021-11-13 00:00:00,2023-02-01 00:00:00,32.30257723065476,0,32.914116205357146,0,0,,
154812,Ventos de Sta Espe 8,EOL.CV.BA.034661-6.01,949128,Ventos de Sta Espe 8,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,25.2,14.9,1,1,24110,EGP SANTA ESPERANCA 8 I5,ENEL GREEN POWER VENTOS DE SANTA ESPERANCA 8 S.A.,2022-02-02 00:00:00,2023-02-01 00:00:00,15.78431447767857,0,14.32365337202381,0,0,,
154828,UFV Ster Bom Casquin,UFV.RS.RN.053852-3.01,956717,UFV Ster Bom Casquin,III - Não Programada e Não Despachada,Não,Solar Fotovoltaica,Radiação solar,NORDESTE,RN,Operação Normal,Não,Não,50%,0.553,,0,1,28499,STER BOM APE,STER BOM IND. E COM. LTDA,,2023-02-01 00:00:00,0,0.03851439732142857,0,0,0,,
154832,Ventos Santa E 16,EOL.CV.BA.034508-3.01,946548,Ventos Santa E 16,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,42,22.5,1,1,99779,EGP SANTA ESPERANCA 16 I5,ENEL GREEN POWER VENTOS DE SANTA ESPERANCA 16 S.A,2022-01-14 00:00:00,2023-02-01 00:00:00,26.244057770833333,0,26.39044424255952,0,0,,
154833,Ventos de Sta Espe22,EOL.CV.BA.034512-1.01,947329,Ventos de Sta Espe22,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,46.2,28.9,1,1,99782,EGP SANTA ESPERANCA 22 I5,ENEL GREEN POWER VENTOS DE SANTA ESPERANCA 22 S.A.,2021-12-30 00:00:00,2023-02-01 00:00:00,30.680129296130954,0,28.31277525892857,0,0,,
154834,Ventos de Sta Espe25,EOL.CV.BA.034513-0.01,948340,Ventos de Sta Espe25,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,25.2,13.2,1,1,99752,EGP SANTA ESPERANCA 25 I5,ENEL GREEN POWER VENTOS DE SANTA ESPERANCA 25 S.A.,2021-12-31 00:00:00,2023-02-01 00:00:00,15.75354150297619,0,13.60181802232143,0,0,,
154854,CGH Serra Velha,CGH.PH.SC.037678-7.01,946572,CGH Serra Velha,III - Não Programada e Não Despachada,Não,Hidráulica CGH,Potencial hidráulico,SUL,SC,Operação Normal,Não,Não,50%,0.024,,0.5,1,42635,CGH SERRA VELHA I5,HIDRELETRICA SERRA VELHA LTDA.,2021-10-30 00:00:00,2023-02-01 00:00:00,0.009144583333333333,0,0.009144583333333333,0,0,,
154854,CGH Serra Velha,CGH.PH.SC.037678-7.01,954528,CGH Serra Velha LILI,III - Não Programada e Não Despachada,Não,Hidráulica CGH,Potencial hidráulico,SUL,SC,Operação Normal,Não,Não,50%,2.476,,0.5,1,42626,LULI APE,LULI INDUSTRIA E COMERCIO DE CONFECCOES LTDA,2022-08-01 00:00:00,2023-02-01 00:00:00,0.90531375,0,0.90531375,0,0,,
154857,EOL Tucano III,EOL.CV.BA.032568-6.01,957397,EOL Tucano III,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,43.4,19.7,0,1,38955,TUCANO F3 GERACAO I5,TUCANO F3 GERACAO DE ENERGIAS SPE S.A.,2023-03-18 00:00:00,2023-02-01 00:00:00,0,8.992564675595238,0,0,0,,
154858,EOL Tucano IV,EOL.CV.BA.032569-4.01,959072,EOL Tucano IV,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,43.4,19.9,0,1,38978,TUCANO F4 GERACAO I5,TUCANO F4 GERACAO DE ENERGIAS SPE S.A.,,2023-02-01 00:00:00,0,8.233184523809524e-05,0,0,0,,
154908,EOL Tucano VI,EOL.CV.BA.032578-3.01,951212,EOL Tucano VI,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,49.6,23,1,1,33993,TUCANO F6 GERACAO I5,TUCANO F6 GERACAO DE ENERGIAS SPE S.A,2022-07-09 00:00:00,2023-02-01 00:00:00,10.222981730654762,0,22.027406049107142,0,0,,
154928,EOL Tucano VII,EOL.CV.BA.032579-1.01,953933,EOL Tucano VII,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,,55.8,26.8,0.555555555556,1,40314,TUCANO F7 GERACAO INE,TUCANO F7 GERACAO DE ENERGIAS SPE S.A.,2022-12-22 00:00:00,2023-02-01 00:00:00,6.226229461309523,4.980983552083333,14.329381681547618,0,0,,
154948,EOL Tucano VIII,EOL.CV.BA.032580-5.01,955134,EOL Tucano VIII,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,49.6,21.7,0.625,1,38923,TUCANO F8 GERACAO I5,TUCANO F8 GERACAO DE ENERGIAS SPE S.A.,2023-01-25 00:00:00,2023-02-01 00:00:00,7.898475126488095,4.739085083333333,13.064394038690477,0,0,,
154958,CACHOEIRINHA,CGH.PH.MT.000581-9.01,947279,CACHOEIRINHA,III - Não Programada e Não Despachada,Não,Hidráulica CGH,Potencial hidráulico,SUDESTE,MT,Operação Normal,Não,Não,50%,0.675,,1,1,30266,CGH CACHOEIRINHA I5,RUARO & CIA LTDA,2021-12-18 00:00:00,2023-02-01 00:00:00,0.1961067589285714,0,0.1961067589285714,0,0,,
154974,EOL Serra do Mato I,EOL.CV.CE.032375-6.01,946768,EOL Serra do Mato I,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,CE,Operação Normal,Não,Não,50%,21,8.7,1,1,27401,EOL SERRA DO MATO I I5,EOLICA SERRA DO MATO I ENERGY S.A,2021-10-28 00:00:00,2023-02-01 00:00:00,4.720212177083333,0,5.324712476190476,0,0,,
155002,UTE NOVA LONDRINA,UTE.AI.PR.050872-1.01,947688,UTE NOVA LONDRINA,III - Não Programada e Não Despachada,Não,Térmica a Biomassa,Bagaço de Cana de Açúcar,SUL,PR,Operação Normal,Não,Não,50%,7.6,,1,1,28839,UTE NOVA LONDRINA I5,COMPANHIA MELHORAMENTOS NORTE DO PARANA,2021-11-19 00:00:00,2023-02-01 00:00:00,0,0,0,0,0,,
155032,UTE São Martinho Boa,UTE.AI.GO.051982-0.01,946649,UTE São Martinho Boa,IIC - Programada e Não Despachada em Conjunto,Não,Térmica a Biomassa,Bagaço de Cana de Açúcar,SUDESTE,GO,Operação Normal,Não,Não,,44.5,,1,1,9129,SMSA,SAO MARTINHO S/A,2021-08-31 00:00:00,2023-02-01 00:00:00,0,0,0,0,0,,
155043,EOL Serra do MatoII,EOL.CV.CE.032376-4.01,946750,EOL Serra do MatoII,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,CE,Operação Normal,Não,Não,50%,21,9.1,1,1,27369,EOL SERRA DO MATO II I5,EOLICA SERRA DO MATO II ENERGY S.A,2021-10-29 00:00:00,2023-02-01 00:00:00,4.629875809523809,0,5.650224068452381,0,0,,
155062,EOL Serra do Mato IV,EOL.CV.CE.032378-0.01,947894,EOL Serra do Mato IV,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,CE,Operação Normal,Não,Não,50%,21,9.1,1,1,27372,EOL SERRA DO MATO IV I5,EOLICA SERRA DO MATO IV ENERGY S.A,2021-12-04 00:00:00,2023-02-01 00:00:00,5.17511406845238,0,5.82060228422619,0,0,,
155085,EOL Serra do MatoIII,EOL.CV.CE.032377-2.01,946587,EOL Serra do MatoIII,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,CE,Operação Normal,Não,Não,50%,21,9.1,1,1,27388,EOL SERRA DO MATO III I5,EOLICA SERRA DO MATO III ENERGY S.A.,2021-10-29 00:00:00,2023-02-01 00:00:00,4.921689888392858,0,5.692951141369048,0,0,,
155092,EOL Serra do Mato V,EOL.CV.CE.032453-1.01,947815,EOL Serra do Mato V,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,CE,Operação Normal,Não,Não,50%,21,8.7,1,1,27373,EOL SERRA DO MATO V I5,EOLICA SERRA DO MATO V ENERGY S.A,2021-11-30 00:00:00,2023-02-01 00:00:00,4.355204569940476,0,5.477943357142857,0,0,,
155093,EOL Serra do Mato VI,EOL.CV.CE.032379-9.01,947687,EOL Serra do Mato VI,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,CE,Operação Normal,Não,Não,50%,16.8,7.1,1,1,27389,EOL SERRA DO MATO VI I5,EOLICA SERRA DO MATO VI ENERGY S.A,2021-11-18 00:00:00,2023-02-01 00:00:00,3.52653281547619,0,4.429696394345238,0,0,,
155146,BARAÚNAS IV ENERGÉTI,EOL.CV.BA.038032-6.01,954292,BARAÚNAS IV ENERGÉTI,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,41.58,21.1,1,1,29804,BARAUNAS IV I5,BARAUNAS IV ENERGETICA S.A.,2022-10-27 00:00:00,2023-02-01 00:00:00,17.311310555059524,0,15.060452476190475,0,0,,
155167,EGP Fonte d Ventos 3,EOL.CV.PE.044554-1.01,946748,EGP Fonte d Ventos 3,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,PE,Operação Normal,Não,Não,50%,49.5,24,1,1,99399,EGP TACAICO II I5,ENEL GREEN POWER FONTES DOS VENTOS 3 S.A.,2021-12-22 00:00:00,2023-02-01 00:00:00,25.571889352678575,0,20.981890083333333,0,0,,
155174,EGP Fontes Ventos 2,EOL.CV.PE.044553-3.01,947822,EGP Fontes Ventos 2,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,PE,Operação Normal,Não,Não,50%,49.5,23,1,1,99808,EGP PAU FERRO II I5,ENEL GREEN POWER FONTES DOS VENTOS 2 S.A.,2021-12-22 00:00:00,2023-02-01 00:00:00,27.509396669642857,0,18.410710602678574,0,0,,
155182,Baraúnas XV Energéti,EOL.CV.BA.038031-8.01,953448,Baraúnas XV Energéti,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,48.51,22.9,1,1,29803,BARAUNAS XV I5,BARAUNAS XV ENERGETICA S.A.,2022-09-17 00:00:00,2023-02-01 00:00:00,19.642301360119045,0,15.78288809970238,0,0,,
155230,PCH AMBAR,PCH.PH.SC.033613-0.01,948013,PCH AMBAR,III - Não Programada e Não Despachada,Não,Hidráulica PCH,Potencial hidráulico,SUL,SC,Operação Normal,Sim,Não,50%,5.1,2.77,1,1,29519,PCH AMBAR I5,RIO SARGENTO ENERGIA LTDA,2021-12-30 00:00:00,2023-02-01 00:00:00,1.1634219642857144,0,3.238723,0,0,,
155285,Baraúnas XX Energéti,EOL.CV.BA.036993-4.01,952242,Baraúnas XX Energéti,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,31.185,16,1,1,29775,BARAUNAS XX I5,BARAUNAS XX ENERGETICA S.A.,2022-08-11 00:00:00,2023-02-01 00:00:00,13.028709580357141,0,11.762884074404761,0,0,,
155286,Morro Branco II Ener,EOL.CV.BA.032417-5.01,951157,Morro Branco II Ener,IIC - Programada e Não Despachada em Conjunto,Sim,Eólica,Cinética do vento,NORDESTE,BA,Operação Normal,Não,Não,50%,31.185,15.4,1,1,29776,MORRO BRANCO I5,MORRO BRANCO II ENERGETICA S.A.,2022-07-09 00:00:00,2023-02-01 00:00:00,12.678210779761903,0,11.245188473214286,0,0,,
155486,INTELBRAS GER,UFV.RS.SC.049225-6.01,955191,INTELBRAS GER,III - Não Programada e Não Despachada,Não,Solar Fotovoltaica,Radiação solar,SUL,SC,Operação Normal,Não,Não,50%,1.245,,1,1,23433,INTELBRAS APE,INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELETRONICA BRASILEIRA,2023-01-25 00:00:00,2023-02-01 00:00:00,0.02793375,0,0.02793375,0,0,,
155577,UFV JUAZEIRO V,UFV.RS.BA.043284-9.01,947026,UFV JUAZEIRO V,IIC - Programada e Não Despachada em Conjunto,Sim,Solar Fotovoltaica,Radiação solar,NORDESTE,BA,Operação Normal,Não,Não,50%,47.292,,1,1,30029,UFV JUAZEIRO 5 I5,CENTRAL FOTOVOLTAICA JUAZEIRO SOLAR V SPE LTDA,2021-10-28 00:00:00,2023-02-01 00:00:00,14.388697297619046,0,14.388697297619046,0,0,,
155578,UFV JUAZEIRO VI,UFV.RS.BA.043285-7.01,948437,UFV JUAZEIRO VI,IIC - Programada e Não Despachada em Conjunto,Sim,Solar Fotovoltaica,Radiação solar,NORDESTE,BA,Operação Normal,Não,Não,50%,47.292,,1,1,30000,UFV JUAZEIRO 6 I5,CENTRAL FOTOVOLTAICA JUAZEIRO SOLAR VI SPE LTDA,2021-12-23 00:00:00,2023-02-01 00:00:00,14.411886772321427,0,14.411886772321427,0,0,,
155579,UFV JUAZEIRO VII,UFV.RS.BA.043286-5.01,947332,UFV JUAZEIRO VII,IIC - Programada e Não Despachada em Conjunto,Sim,Solar Fotovoltaica,Radiação solar,NORDESTE,BA,Operação Normal,Não,Não,50%,47.292,,1,1,30028,UFV JUAZEIRO 7 I5,CENTRAL FOTOVOLTAICA JUAZEIRO SOLAR VII SPE LTDA,2021-11-12 00:00:00,2023-02-01 00:00:00,14.40162352232143,0,14.40162352232143,0,0,,
155580,UFV JUAZEIRO VIII,UFV.RS.BA.044754-4.01,947788,UFV JUAZEIRO VIII,IIC - Programada e Não Despachada em Conjunto,Sim,Solar Fotovoltaica,Radiação solar,NORDESTE,BA,Operação Normal,Não,Não,50%,15.201,,1,1,30063,UFV JUAZEIRO 8 I5,CENTRAL FOTOVOLTAICA JUAZEIRO SOLAR VIII SPE LTDA,2021-11-12 00:00:00,2023-02-01 00:00:00,4.74430771875,0,4.74430771875,0,0,,
155610,UTE FS SORRISO,UTE.FL.MT.044865-6.01,952653,UTE FS SORRISO,IIB - Programada e Não Despachada sem CVU,Sim,Térmica a Biomassa,Resíduos Florestais,SUDESTE,MT,Operação Normal,Não,Não,50%,55,,1,1,99838,FS SORRISO I5,FS INDUSTRIA DE BIOCOMBUSTIVEIS LTDA,2022-09-13 00:00:00,2023-02-01 00:00:00,4.0842420922619045,0,4.0842420922619045,0,0,,
